"filename", "language", "JSON", "JavaScript", "Prisma", "comment", "blank", "total"
"f:\Front-End\000-projetos\expense-plan-server\package-lock.json", "JSON", 1854, 0, 0, 0, 1, 1855
"f:\Front-End\000-projetos\expense-plan-server\package.json", "JSON", 29, 0, 0, 0, 1, 30
"f:\Front-End\000-projetos\expense-plan-server\prisma\schema.prisma", "Prisma", 0, 0, 130, 8, 18, 156
"f:\Front-End\000-projetos\expense-plan-server\src\config.js", "JavaScript", 0, 10, 0, 0, 3, 13
"f:\Front-End\000-projetos\expense-plan-server\src\hooks\authPreHandler.js", "JavaScript", 0, 23, 0, 0, 7, 30
"f:\Front-End\000-projetos\expense-plan-server\src\hooks\isUserMovementInRangePreHandler.js", "JavaScript", 0, 9, 0, 0, 4, 13
"f:\Front-End\000-projetos\expense-plan-server\src\hooks\movementCategoryExistsPreHandler.js", "JavaScript", 0, 26, 0, 0, 7, 33
"f:\Front-End\000-projetos\expense-plan-server\src\hooks\userMonthlyMovementExistsPreHandler.js", "JavaScript", 0, 9, 0, 0, 3, 12
"f:\Front-End\000-projetos\expense-plan-server\src\hooks\userMovementExistsPreHandler.js", "JavaScript", 0, 9, 0, 0, 3, 12
"f:\Front-End\000-projetos\expense-plan-server\src\hooks\userMovementTypeBelongToSavingPreHandler.js", "JavaScript", 0, 18, 0, 0, 5, 23
"f:\Front-End\000-projetos\expense-plan-server\src\hooks\userMovementTypeExistsPreHandler.js", "JavaScript", 0, 9, 0, 0, 3, 12
"f:\Front-End\000-projetos\expense-plan-server\src\hooks\userSavingExistsPreHandler.js", "JavaScript", 0, 9, 0, 0, 3, 12
"f:\Front-End\000-projetos\expense-plan-server\src\index.js", "JavaScript", 0, 61, 0, 4, 17, 82
"f:\Front-End\000-projetos\expense-plan-server\src\plugins\prisma.js", "JavaScript", 0, 3, 0, 0, 2, 5
"f:\Front-End\000-projetos\expense-plan-server\src\routes\history\endpoints.js", "JavaScript", 0, 9, 0, 0, 3, 12
"f:\Front-End\000-projetos\expense-plan-server\src\routes\history\getUserHistoryDates\documentationSchema.js", "JavaScript", 0, 27, 0, 0, 3, 30
"f:\Front-End\000-projetos\expense-plan-server\src\routes\history\getUserHistoryDates\handler.js", "JavaScript", 0, 14, 0, 0, 9, 23
"f:\Front-End\000-projetos\expense-plan-server\src\routes\history\getUserHistoryDates\requestValidators\paramsSchema.js", "JavaScript", 0, 6, 0, 0, 4, 10
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\createUserMonthlyMovement\documentationSchema.js", "JavaScript", 0, 36, 0, 0, 3, 39
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\createUserMonthlyMovement\handler.js", "JavaScript", 0, 29, 0, 0, 11, 40
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\createUserMonthlyMovement\requestValidators\bodySchema.js", "JavaScript", 0, 14, 0, 0, 4, 18
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\createUserMonthlyMovement\requestValidators\paramsSchema.js", "JavaScript", 0, 6, 0, 0, 4, 10
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\deleteUserMonthlyMovement\documentationSchema.js", "JavaScript", 0, 30, 0, 0, 3, 33
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\deleteUserMonthlyMovement\handler.js", "JavaScript", 0, 15, 0, 0, 10, 25
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\deleteUserMonthlyMovement\requestValidators\paramsSchema.js", "JavaScript", 0, 10, 0, 0, 4, 14
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\endpoints.js", "JavaScript", 0, 35, 0, 0, 10, 45
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\getAllUserMonthlyMovements\documentationSchema.js", "JavaScript", 0, 29, 0, 0, 3, 32
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\getAllUserMonthlyMovements\handler.js", "JavaScript", 0, 14, 0, 0, 9, 23
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\getAllUserMonthlyMovements\requestValidators\paramsSchema.js", "JavaScript", 0, 6, 0, 0, 4, 10
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\updateUserMonthlyMovement\documentationSchema.js", "JavaScript", 0, 43, 0, 0, 3, 46
"f:\Front-End\000-projetos\expense-plan-server\src\routes\monthlyMovement\updateUserMonthlyMovement\handler.js", "JavaScript", 0, 30, 0, 0, 10, 40
